,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
66,2012-04-03,33717555.075093344,32864969.889104474,35808222.45896307,33717555.075093344,33717555.075093344,509101.29993901105,509101.29993901105,509101.29993901105,647695.6421763723,647695.6421763723,647695.6421763723,-138594.34223736136,-138594.34223736136,-138594.34223736136,0.0,0.0,0.0,34226656.37503236
67,2012-04-04,33703590.937606,32596088.215655547,35617362.057722665,33703590.937606,33703590.937606,503649.6297800182,503649.6297800182,503649.6297800182,638617.2151337267,638617.2151337267,638617.2151337267,-134967.58535370865,-134967.58535370865,-134967.58535370865,0.0,0.0,0.0,34207240.567386016
68,2012-04-05,33689626.80011866,32703878.971450504,35697343.01257661,33689626.80011866,33689626.80011866,514650.4848550057,514650.4848550057,514650.4848550057,648037.5147047888,648037.5147047888,648037.5147047888,-133387.02984978308,-133387.02984978308,-133387.02984978308,0.0,0.0,0.0,34204277.284973666
69,2012-04-06,33675662.662631325,32559787.043358658,35629107.63086702,33675662.662631325,33675662.662631325,511527.85924763075,511527.85924763075,511527.85924763075,645406.8827426462,645406.8827426462,645406.8827426462,-133879.02349501534,-133879.02349501534,-133879.02349501534,0.0,0.0,0.0,34187190.52187896
70,2012-04-09,33633770.25016932,32651183.743823845,35468971.586105846,33633770.25016932,33633770.25016932,493924.3869891634,493924.3869891634,493924.3869891634,641098.2329845848,641098.2329845848,641098.2329845848,-147173.84599542132,-147173.84599542132,-147173.84599542132,0.0,0.0,0.0,34127694.63715848
71,2012-04-10,33619806.112681985,32752699.62378036,35599491.968141116,33619806.112681985,33619806.112681985,492623.7414568612,492623.7414568612,492623.7414568612,647695.6421766302,647695.6421766302,647695.6421766302,-155071.900719769,-155071.900719769,-155071.900719769,0.0,0.0,0.0,34112429.85413884
72,2012-04-11,33605841.97519464,32569188.09776858,35657183.98954046,33605841.97519464,33605841.97519464,474265.29609998694,474265.29609998694,474265.29609998694,638617.2151337286,638617.2151337286,638617.2151337286,-164351.91903374155,-164351.91903374155,-164351.91903374155,0.0,0.0,0.0,34080107.27129463
73,2012-04-12,33591877.8377073,32503990.336970855,35502768.47164745,33591877.8377073,33591877.8377073,473288.4951662875,473288.4951662875,473288.4951662875,648037.5147042227,648037.5147042227,648037.5147042227,-174749.01953793518,-174749.01953793518,-174749.01953793518,0.0,0.0,0.0,34065166.33287359
74,2012-04-13,33577913.700219974,32604776.89004839,35484807.51495346,33577913.700219974,33577913.700219974,459433.2429139786,459433.2429139786,459433.2429139786,645406.8827410722,645406.8827410722,645406.8827410722,-185973.63982709355,-185973.63982709355,-185973.63982709355,0.0,0.0,0.0,34037346.94313395
75,2012-04-16,33536021.287757963,32430327.349453863,35484836.15568849,33536021.287757963,33536021.287757963,419563.36896810285,419563.36896810285,419563.36896810285,641098.2329877741,641098.2329877741,641098.2329877741,-221534.86401967137,-221534.86401967137,-221534.86401967137,0.0,0.0,0.0,33955584.65672606
76,2012-04-17,33522057.150270626,32495223.692464057,35382305.84958368,33522057.150270626,33522057.150270626,414701.05835192895,414701.05835192895,414701.05835192895,647695.6421780902,647695.6421780902,647695.6421780902,-232994.58382616114,-232994.58382616114,-232994.58382616114,0.0,0.0,0.0,33936758.20862255
77,2012-04-18,33508093.012783285,32432621.09340496,35328173.8186126,33508093.012783285,33508093.012783285,394839.49935270695,394839.49935270695,394839.49935270695,638617.2151337296,638617.2151337296,638617.2151337296,-243777.71578102268,-243777.71578102268,-243777.71578102268,0.0,0.0,0.0,33902932.51213599
78,2012-04-19,33494128.87529595,32458113.478800748,35345833.907539144,33494128.87529595,33494128.87529595,394404.99421907286,394404.99421907286,394404.99421907286,648037.5147048625,648037.5147048625,648037.5147048625,-253632.52048578963,-253632.52048578963,-253632.52048578963,0.0,0.0,0.0,33888533.869515024
79,2012-04-20,33480164.737808615,32403751.45809886,35266022.0931694,33480164.737808615,33480164.737808615,383065.97314068634,383065.97314068634,383065.97314068634,645406.8827394984,645406.8827394984,645406.8827394984,-262340.90959881205,-262340.90959881205,-262340.90959881205,0.0,0.0,0.0,33863230.7109493
80,2012-04-23,33438272.325346604,32245834.35087717,35247056.72000288,33438272.325346604,33438272.325346604,361081.10275270673,361081.10275270673,361081.10275270673,641098.2329844077,641098.2329844077,641098.2329844077,-280017.130231701,-280017.130231701,-280017.130231701,0.0,0.0,0.0,33799353.42809931
81,2012-04-24,33424308.18785927,32380771.4433157,35327125.084531054,33424308.18785927,33424308.18785927,364899.80893270904,364899.80893270904,364899.80893270904,647695.642177449,647695.642177449,647695.642177449,-282795.83324473986,-282795.83324473986,-282795.83324473986,0.0,0.0,0.0,33789207.99679198
82,2012-04-25,33410344.050371926,32360042.786295746,35242013.99466096,33410344.050371926,33410344.050371926,354629.74768001,354629.74768001,354629.74768001,638617.2151337306,638617.2151337306,638617.2151337306,-283987.46745372063,-283987.46745372063,-283987.46745372063,0.0,0.0,0.0,33764973.79805194
83,2012-04-26,33396379.912884593,32306487.503027923,35167681.7523456,33396379.912884593,33396379.912884593,364393.85870218853,364393.85870218853,364393.85870218853,648037.5147046153,648037.5147046153,648037.5147046153,-283643.65600242687,-283643.65600242687,-283643.65600242687,0.0,0.0,0.0,33760773.77158678
84,2012-04-27,33382415.775397256,32259916.91382462,35247170.28426664,33382415.775397256,33382415.775397256,363547.5588394266,363547.5588394266,363547.5588394266,645406.8827379246,645406.8827379246,645406.8827379246,-281859.32389849797,-281859.32389849797,-281859.32389849797,0.0,0.0,0.0,33745963.33423668
85,2012-04-30,33340523.36293525,32323015.214765273,35221945.82016493,33340523.36293525,33340523.36293525,371728.4971519325,371728.4971519325,371728.4971519325,641098.2329859842,641098.2329859842,641098.2329859842,-269369.7358340516,-269369.7358340516,-269369.7358340516,0.0,0.0,0.0,33712251.86008718
86,2012-05-01,33326559.22544791,32403032.14736792,35207469.92867776,33326559.22544791,33326559.22544791,384220.1874455765,384220.1874455765,384220.1874455765,647695.6421768075,647695.6421768075,647695.6421768075,-263475.454731231,-263475.454731231,-263475.454731231,0.0,0.0,0.0,33710779.41289349
87,2012-05-02,33331857.17453927,32213698.961953137,35198145.89997781,33331857.17453927,33331857.17453927,381528.55801987386,381528.55801987386,381528.55801987386,638617.2151337257,638617.2151337257,638617.2151337257,-257088.65711385178,-257088.65711385178,-257088.65711385178,0.0,0.0,0.0,33713385.732559144
88,2012-05-03,33337155.123630624,32221872.307084292,35164697.85744827,33337155.123630624,33337155.123630624,397590.4599923779,397590.4599923779,397590.4599923779,648037.5147049363,648037.5147049363,648037.5147049363,-250447.0547125584,-250447.0547125584,-250447.0547125584,0.0,0.0,0.0,33734745.583623
89,2012-05-04,33342453.07272198,32219180.30719121,35232011.48845131,33342453.07272198,33342453.07272198,401620.02859446476,401620.02859446476,401620.02859446476,645406.8827412835,645406.8827412835,645406.8827412835,-243786.85414681878,-243786.85414681878,-243786.85414681878,0.0,0.0,0.0,33744073.101316445
90,2012-05-07,33358346.919996057,32371798.717213217,35337096.745766275,33358346.919996057,33358346.919996057,415219.96708007687,415219.96708007687,415219.96708007687,641098.2329875606,641098.2329875606,641098.2329875606,-225878.2659074837,-225878.2659074837,-225878.2659074837,0.0,0.0,0.0,33773566.88707613
91,2012-05-08,33363644.869087413,32257254.006393753,35283884.91113722,33363644.869087413,33363644.869087413,426475.0627804448,426475.0627804448,426475.0627804448,647695.6421761664,647695.6421761664,647695.6421761664,-221220.57939572155,-221220.57939572155,-221220.57939572155,0.0,0.0,0.0,33790119.93186786
